RoomCd|RoomType|RoomCharacteristic|minPax|maxPax|maxAdults|maxChildren|minAdults|Description__ENG|TypeDescription__ENG|CharacteristicDescription__ENG|Description__IND|TypeDescription__IND|CharacteristicDescription__IND
SUI.AS-B2|SUI|AS-B2|1|4|4|2|1|SUITE CLASSIC TWO BEDROOMS|SUITE|CLASSIC TWO BEDROOMS|SUITE KLASIK DUA KAMAR TIDUR|SUITE|KLASIK DUA KAMAR TIDUR
SUI.AS-BL|SUI|AS-BL|1|2|2|2|1|SUITE CLASSIC WITH BALCONY|SUITE|CLASSIC WITH BALCONY|SUITE KLASIK DENGAN BALKON|SUITE|KLASIK DENGAN BALKON
SUI.AS-CV|SUI|AS-CV|1|2|2|1|1|SUITE CLASSIC CITY VIEW|SUITE|CLASSIC CITY VIEW|SUITE KLASIK PEMANDANGAN KOTA|SUITE|KLASIK PEMANDANGAN KOTA
SUI.AS-KG|SUI|AS-KG|0|4|4|4|1|SUITE CLASSIC KING BED|SUITE|CLASSIC KING BED|SUITE KLASIK RANJANG KING|SUITE|KLASIK RANJANG KING
SUI.AS-QN|SUI|AS-QN|1|2|2|1|1|SUITE CLASSIC QUEEN BED|SUITE|CLASSIC QUEEN BED|SUITE KLASIK RANJANG QUEEN|SUITE|KLASIK RANJANG QUEEN
SUI.AS-TR|SUI|AS-TR|1|2|2|2|1|SUITE CLASSIC WITH TERRACE|SUITE|CLASSIC WITH TERRACE|SUITE KLASIK DENGAN TERAS|SUITE|KLASIK DENGAN TERAS
SUI.AS-VM|SUI|AS-VM|1|4|4|2|1|SUITE CLASSIC SEA VIEW|SUITE|CLASSIC SEA VIEW|SUITE KLASIK PEMANDANGAN LAUT|SUITE|KLASIK PEMANDANGAN LAUT
SUI.AS-VN|SUI|AS-VN|3|2|2|2|2|SUITE CLASSIC MOUNTAIN VIEW|SUITE|CLASSIC MOUNTAIN VIEW|SUITE KLASIK PEMANDANGAN PEGUNUNGAN|SUITE|KLASIK PEMANDANGAN PEGUNUNGAN
SUI.AX|SUI|AX|0|4|4|2|1|SUITE ANNEX|SUITE|ANNEX|SUITE PAVILIUN|SUITE|PAVILIUN
SUI.B1|SUI|B1|0|4|4|5|1|SUITE ONE BEDROOM|SUITE|ONE BEDROOM|SUITE SATU KAMAR|SUITE|SATU KAMAR
SUI.B1-1|SUI|B1-1|1|4|4|2|1|SUITE ONE BEDROOM|SUITE|ONE BEDROOM|SUITE SATU KAMAR|SUITE|SATU KAMAR
SUI.B1-10|SUI|B1-10|1|2|2|2|1|SUITE ONE BEDROOM|SUITE|ONE BEDROOM|SUITE SATU KAMAR|SUITE|SATU KAMAR
SUI.B1-2|SUI|B1-2|1|4|4|3|1|SUITE ONE BEDROOM|SUITE|ONE BEDROOM|SUITE SATU KAMAR|SUITE|SATU KAMAR
SUI.B1-3|SUI|B1-3|1|4|4|2|1|SUITE ONE BEDROOM|SUITE|ONE BEDROOM|SUITE SATU KAMAR|SUITE|SATU KAMAR
SUI.B1-4|SUI|B1-4|1|4|4|2|1|SUITE ONE BEDROOM|SUITE|ONE BEDROOM|SUITE SATU KAMAR|SUITE|SATU KAMAR
SUI.B1-5|SUI|B1-5|1|2|2|3|1|SUITE ONE BEDROOM|SUITE|ONE BEDROOM|SUITE SATU KAMAR|SUITE|SATU KAMAR
SUI.B1-C1|SUI|B1-C1|1|2|2|1|1|SUITE CAPACITY 1 ONE BEDROOM|SUITE|CAPACITY 1 ONE BEDROOM|SUITE KAPASITAS 1 SATU KAMAR|SUITE|KAPASITAS 1 SATU KAMAR
SUI.B1-C2|SUI|B1-C2|0|4|4|1|1|SUITE CAPACITY 2 ONE BEDROOM|SUITE|CAPACITY 2 ONE BEDROOM|SUITE KAPASITAS 2 SATU KAMAR|SUITE|KAPASITAS 2 SATU KAMAR
SUI.B1-C3|SUI|B1-C3|1|4|4|5|1|SUITE CAPACITY 3 ONE BEDROOM|SUITE|CAPACITY 3 ONE BEDROOM|SUITE KAPASITAS 3 SATU KAMAR|SUITE|KAPASITAS 3 SATU KAMAR
SUI.B1-C4|SUI|B1-C4|0|4|4|4|1|SUITE CAPACITY 4 ONE BEDROOM|SUITE|CAPACITY 4 ONE BEDROOM|SUITE KAPASITAS 4 SATU KAMAR|SUITE|KAPASITAS 4 SATU KAMAR
SUI.B1-C5|SUI|B1-C5|1|2|2|3|1|SUITE CAPACITY 5 ONE BEDROOM|SUITE|CAPACITY 5 ONE BEDROOM|SUITE KAPASITAS 5 SATU KAMAR|SUITE|KAPASITAS 5 SATU KAMAR
SUI.B1-CV|SUI|B1-CV|0|4|4|3|1|SUITE CITY VIEW ONE BEDROOM|SUITE|CITY VIEW ONE BEDROOM|SUITE PEMANDANGAN KOTA SATU KAMAR TIDUR|SUITE|PEMANDANGAN KOTA SATU KAMAR TIDUR
SUI.B1-DX|SUI|B1-DX|0|4|4|3|1|SUITE DELUXE ONE BEDROOM|SUITE|DELUXE ONE BEDROOM|SUITE DELUKS SATU KAMAR TIDUR|SUITE|DELUKS SATU KAMAR TIDUR
SUI.B1-DX-OV|SUI|B1-DX-OV|0|4|4|1|1|SUITE DELUXE OCEAN VIEW ONE BEDROOM|SUITE|DELUXE OCEAN VIEW ONE BEDROOM|SUITE DELUKS PEMANDANGAN SAMUDRA SATU KAMAR TIDUR|SUITE|DELUKS PEMANDANGAN SAMUDRA SATU KAMAR TIDUR
SUI.B1-EJ|SUI|B1-EJ|0|4|4|4|1|SUITE EXECUTIVE ONE BEDROOM|SUITE|EXECUTIVE ONE BEDROOM|SUITE EKSEKUTIF SATU KAMAR TIDUR|SUITE|EKSEKUTIF SATU KAMAR TIDUR
SUI.B1-GV|SUI|B1-GV|0|4|4|3|1|SUITE GARDEN VIEW ONE BEDROOM|SUITE|GARDEN VIEW ONE BEDROOM|SUITE PEMANDANGAN KEBUN SATU KAMAR TIDUR|SUITE|PEMANDANGAN KEBUN SATU KAMAR TIDUR
SUI.B1-KG|SUI|B1-KG|0|4|4|7|1|SUITE KING BED ONE BEDROOM |SUITE|KING BED ONE BEDROOM |SUITE RANJANG KING SATU KAMAR TIDUR |SUITE|RANJANG KING SATU KAMAR TIDUR 
SUI.B1-LX|SUI|B1-LX|0|4|4|3|1|SUITE LUXURY ONE BEDROOM|SUITE|LUXURY ONE BEDROOM|SUITE LUKSURI SATU KAMAR TIDUR|SUITE|LUKSURI SATU KAMAR TIDUR
SUI.B1-OF|SUI|B1-OF|0|4|4|3|1|SUITE OCEAN FRONT ONE BEDROOM|SUITE|OCEAN FRONT ONE BEDROOM|SUITE DEPAN SAMUDRA SATU KAMAR TIDUR|SUITE|DEPAN SAMUDRA SATU KAMAR TIDUR
SUI.B1-OV|SUI|B1-OV|0|4|4|4|1|SUITE OCEAN VIEW ONE BEDROOM|SUITE|OCEAN VIEW ONE BEDROOM|SUITE PEMANDANGAN SAMUDRA SATU KAMAR TIDUR|SUITE|PEMANDANGAN SAMUDRA SATU KAMAR TIDUR
SUI.B1-PE|SUI|B1-PE|0|4|4|3|1|SUITE PREMIER ONE BEDROOM|SUITE|PREMIER ONE BEDROOM|SUITE PREMIER SATU KAMAR TIDUR|SUITE|PREMIER SATU KAMAR TIDUR
SUI.B1-PI|SUI|B1-PI|1|2|2|2|1|SUITE PREMIUM ONE BEDROOM|SUITE|PREMIUM ONE BEDROOM|SUITE PREMIUM SATU KAMAR TIDUR|SUITE|PREMIUM SATU KAMAR TIDUR
SUI.B1-PO|SUI|B1-PO|0|4|4|3|1|SUITE PARTIAL OCEAN VIEW ONE BEDROOM|SUITE|PARTIAL OCEAN VIEW ONE BEDROOM|SUITE PEMANDANGAN PARSIAL SAMUDRA SATU KAMAR TIDUR|SUITE|PEMANDANGAN PARSIAL SAMUDRA SATU KAMAR TIDUR
SUI.B1-SS|SUI|B1-SS|1|4|4|2|1|SUITE SIDE SEA VIEW ONE BEDROOM|SUITE|SIDE SEA VIEW ONE BEDROOM|SUITE PEMANDANGAN TEPI LAUT SATU KAMAR TIDUR|SUITE|PEMANDANGAN TEPI LAUT SATU KAMAR TIDUR
SUI.B1-SU|SUI|B1-SU|0|4|4|3|1|SUITE SUPERIOR ONE BEDROOM|SUITE|SUPERIOR ONE BEDROOM|SUITE SUPERIOR SATU KAMAR TIDUR|SUITE|SUPERIOR SATU KAMAR TIDUR
SUI.B1-TR|SUI|B1-TR|1|4|4|4|1|SUITE ONE BEDROOM WITH TERRACE|SUITE|ONE BEDROOM WITH TERRACE|SUITE SATU KAMAR DENGAN TERAS|SUITE|SATU KAMAR DENGAN TERAS
SUI.B1-VM|SUI|B1-VM|0|4|4|3|1|SUITE SEA VIEW ONE BEDROOM|SUITE|SEA VIEW ONE BEDROOM|SUITE PEMANDANGAN LAUT SATU KAMAR TIDUR|SUITE|PEMANDANGAN LAUT SATU KAMAR TIDUR
SUI.B1-VP|SUI|B1-VP|0|4|4|3|1|SUITE POOL VIEW ONE BEDROOM|SUITE|POOL VIEW ONE BEDROOM|SUITE PEMANDANGAN KOLAM RENANG SATU KAMAR TIDUR|SUITE|PEMANDANGAN KOLAM RENANG SATU KAMAR TIDUR
SUI.B2|SUI|B2|0|4|4|99|1|SUITE TWO BEDROOMS|SUITE|TWO BEDROOMS|SUITE DUA KAMAR|SUITE|DUA KAMAR
SUI.B2-1|SUI|B2-1|0|4|4|4|1|SUITE TWO BEDROOMS|SUITE|TWO BEDROOMS|SUITE DUA KAMAR|SUITE|DUA KAMAR
SUI.B2-2|SUI|B2-2|1|4|4|4|1|SUITE TWO BEDROOMS|SUITE|TWO BEDROOMS|SUITE DUA KAMAR|SUITE|DUA KAMAR
SUI.B2-3|SUI|B2-3|1|4|4|1|1|SUITE TWO BEDROOMS|SUITE|TWO BEDROOMS|SUITE DUA KAMAR|SUITE|DUA KAMAR
SUI.B2-4|SUI|B2-4|1|4|4|0|1|SUITE TWO BEDROOMS|SUITE|TWO BEDROOMS|SUITE DUA KAMAR|SUITE|DUA KAMAR
SUI.B2-5|SUI|B2-5|5|4|4|2|4|SUITE TWO BEDROOMS|SUITE|TWO BEDROOMS|SUITE DUA KAMAR|SUITE|DUA KAMAR
SUI.B2-6|SUI|B2-6|6|4|4|1|5|SUITE TWO BEDROOMS|SUITE|TWO BEDROOMS|SUITE DUA KAMAR|SUITE|DUA KAMAR
SUI.B2-BF|SUI|B2-BF|0|4|4|5|1|SUITE BEACH FRONT TWO BEDROOMS|SUITE|BEACH FRONT TWO BEDROOMS|SUITE DEPAN PANTAI DUA KAMAR TIDUR|SUITE|DEPAN PANTAI DUA KAMAR TIDUR
SUI.B2-C2|SUI|B2-C2|0|4|4|7|1|SUITE CAPACITY 2 TWO BEDROOMS|SUITE|CAPACITY 2 TWO BEDROOMS|SUITE KAPASITAS 2 DUA KAMAR|SUITE|KAPASITAS 2 DUA KAMAR
SUI.B2-C3|SUI|B2-C3|1|4|4|7|1|SUITE CAPACITY 3 TWO BEDROOMS|SUITE|CAPACITY 3 TWO BEDROOMS|SUITE KAPASITAS 3 DUA KAMAR|SUITE|KAPASITAS 3 DUA KAMAR
SUI.B2-C4|SUI|B2-C4|1|4|4|7|1|SUITE CAPACITY 4 TWO BEDROOMS|SUITE|CAPACITY 4 TWO BEDROOMS|SUITE KAPASITAS 4 DUA KAMAR|SUITE|KAPASITAS 4 DUA KAMAR
SUI.B2-C5|SUI|B2-C5|1|4|4|5|1|SUITE CAPACITY 5 TWO BEDROOMS|SUITE|CAPACITY 5 TWO BEDROOMS|SUITE KAPASITAS 5 DUA KAMAR|SUITE|KAPASITAS 5 DUA KAMAR
SUI.B2-C6|SUI|B2-C6|1|4|4|5|1|SUITE CAPACITY 6 TWO BEDROOMS|SUITE|CAPACITY 6 TWO BEDROOMS|SUITE KAPASITAS 6 DUA KAMAR|SUITE|KAPASITAS 6 DUA KAMAR
SUI.B2-C8|SUI|B2-C8|1|4|4|7|1|SUITE CAPACITY 8 TWO BEDROOMS|SUITE|CAPACITY 8 TWO BEDROOMS|SUITE KAPASITAS 8 DUA KAMAR|SUITE|KAPASITAS 8 DUA KAMAR
SUI.B2-CV|SUI|B2-CV|0|4|4|3|1|SUITE CITY VIEW TWO BEDROOMS|SUITE|CITY VIEW TWO BEDROOMS|SUITE PEMANDANGAN KOTA DUA KAMAR TIDUR|SUITE|PEMANDANGAN KOTA DUA KAMAR TIDUR
SUI.B2-DX|SUI|B2-DX|0|4|4|8|1|SUITE DELUXE TWO BEDROOM|SUITE|DELUXE TWO BEDROOM|SUITE DELUKS DUA KAMAR TIDUR|SUITE|DELUKS DUA KAMAR TIDUR
SUI.B2-EJ|SUI|B2-EJ|0|4|4|5|1|SUITE EXECUTIVE TWO BEDROOMS|SUITE|EXECUTIVE TWO BEDROOMS|SUITE EKSEKUTIF DUA KAMAR TIDUR|SUITE|EKSEKUTIF DUA KAMAR TIDUR
SUI.B2-GV|SUI|B2-GV|0|4|4|5|1|SUITE GARDEN VIEW TWO BEDROOMS|SUITE|GARDEN VIEW TWO BEDROOMS|SUITE PEMANDANGAN KEBUN DUA KAMAR TIDUR|SUITE|PEMANDANGAN KEBUN DUA KAMAR TIDUR
SUI.B2-KG|SUI|B2-KG|0|4|4|99|1|SUITE KING BED TWO BEDROOMS|SUITE|KING BED TWO BEDROOMS|SUITE RANJANG KING DUA KAMAR TIDUR|SUITE|RANJANG KING DUA KAMAR TIDUR
SUI.B2-LX|SUI|B2-LX|0|4|4|7|1|SUITE LUXURY TWO BEDROOMS|SUITE|LUXURY TWO BEDROOMS|SUITE LUKSURI DUA KAMAR TIDUR|SUITE|LUKSURI DUA KAMAR TIDUR
SUI.B2-NM|SUI|B2-NM|0|4|4|7|1|SUITE TWO BEDROOMS NON SMOKING|SUITE|TWO BEDROOMS NON SMOKING|SUITE DUA KAMAR BEBAS-ROKOK|SUITE|DUA KAMAR BEBAS-ROKOK
SUI.B2-OF|SUI|B2-OF|0|4|4|7|1|SUITE OCEAN FRONT TWO BEDROOMS|SUITE|OCEAN FRONT TWO BEDROOMS|SUITE DEPAN SAMUDRA DUA KAMAR TIDUR|SUITE|DEPAN SAMUDRA DUA KAMAR TIDUR
SUI.B2-OV|SUI|B2-OV|0|4|4|5|1|SUITE OCEAN VIEW TWO BEDROOMS|SUITE|OCEAN VIEW TWO BEDROOMS|SUITE PEMANDANGAN SAMUDRA DUA KAMAR TIDUR|SUITE|PEMANDANGAN SAMUDRA DUA KAMAR TIDUR
SUI.B2-PE|SUI|B2-PE|0|4|4|7|1|SUITE PREMIER TWO BEDROOMS|SUITE|PREMIER TWO BEDROOMS|SUITE PREMIER DUA KAMAR TIDUR|SUITE|PREMIER DUA KAMAR TIDUR
SUI.B2-PO|SUI|B2-PO|0|4|4|5|1|SUITE PARTIAL OCEAN VIEW TWO BEDROOMS|SUITE|PARTIAL OCEAN VIEW TWO BEDROOMS|SUITE PEMANDANGAN PARSIAL SAMUDRA DUA KAMAR TIDUR|SUITE|PEMANDANGAN PARSIAL SAMUDRA DUA KAMAR TIDUR
SUI.B2-PP|SUI|B2-PP|1|4|4|4|1|SUITE TWO BEDROOMS WITH PRIVATE POOL|SUITE|TWO BEDROOMS WITH PRIVATE POOL|SUITE DUA KAMAR DENGAN KOLAM RENANG PRIBADI|SUITE|DUA KAMAR DENGAN KOLAM RENANG PRIBADI
SUI.B2-QN|SUI|B2-QN|0|4|4|7|1|SUITE QUEEN BED TWO BEDROOMS|SUITE|QUEEN BED TWO BEDROOMS|SUITE RANJANG QUEEN DUA KAMAR TIDUR|SUITE|RANJANG QUEEN DUA KAMAR TIDUR
SUI.B2-SS|SUI|B2-SS|1|4|4|4|1|SUITE SIDE SEA VIEW TWO BEDROOMS|SUITE|SIDE SEA VIEW TWO BEDROOMS|SUITE PEMANDANGAN TEPI LAUT DUA KAMAR TIDUR|SUITE|PEMANDANGAN TEPI LAUT DUA KAMAR TIDUR
SUI.B2-SU|SUI|B2-SU|0|4|4|5|1|SUITE SUPERIOR TWO BEDROOMS|SUITE|SUPERIOR TWO BEDROOMS|SUITE SUPERIOR DUA KAMAR TIDUR|SUITE|SUPERIOR DUA KAMAR TIDUR
SUI.B2-TR|SUI|B2-TR|1|4|4|5|1|SUITE TWO BEDROOMS WITH TERRACE|SUITE|TWO BEDROOMS WITH TERRACE|SUITE DUA KAMAR DENGAN TERAS|SUITE|DUA KAMAR DENGAN TERAS
SUI.B2-VM|SUI|B2-VM|0|4|4|8|1|SUITE SEA VIEW TWO BEDROOMS|SUITE|SEA VIEW TWO BEDROOMS|SUITE PEMANDANGAN LAUT DUA KAMAR TIDUR|SUITE|PEMANDANGAN LAUT DUA KAMAR TIDUR
SUI.B2-VP|SUI|B2-VP|0|4|4|4|1|SUITE POOL VIEW TWO BEDROOMS|SUITE|POOL VIEW TWO BEDROOMS|SUITE PEMANDANGAN KOLAM RENANG DUA KAMAR TIDUR|SUITE|PEMANDANGAN KOLAM RENANG DUA KAMAR TIDUR
SUI.B3|SUI|B3|0|4|4|9|1|SUITE THREE BEDROOMS|SUITE|THREE BEDROOMS|SUITE TIGA KAMAR|SUITE|TIGA KAMAR
SUI.B3-1|SUI|B3-1|1|4|4|5|1|SUITE THREE BEDROOMS|SUITE|THREE BEDROOMS|SUITE TIGA KAMAR|SUITE|TIGA KAMAR
SUI.B3-2|SUI|B3-2|1|4|4|4|1|SUITE THREE BEDROOMS|SUITE|THREE BEDROOMS|SUITE TIGA KAMAR|SUITE|TIGA KAMAR
SUI.B3-3|SUI|B3-3|1|4|4|2|1|SUITE THREE BEDROOMS|SUITE|THREE BEDROOMS|SUITE TIGA KAMAR|SUITE|TIGA KAMAR
SUI.B3-4|SUI|B3-4|4|4|4|6|4|SUITE THREE BEDROOMS|SUITE|THREE BEDROOMS|SUITE TIGA KAMAR|SUITE|TIGA KAMAR
SUI.B3-6|SUI|B3-6|3|4|4|1|1|SUITE THREE BEDROOMS|SUITE|THREE BEDROOMS|SUITE TIGA KAMAR|SUITE|TIGA KAMAR
SUI.B3-C4|SUI|B3-C4|1|4|4|3|1|SUITE CAPACITY 4 THREE BEDROOM|SUITE|CAPACITY 4 THREE BEDROOM|SUITE KAPASITAS 4 TIGA KAMAR|SUITE|KAPASITAS 4 TIGA KAMAR
SUI.B3-C5|SUI|B3-C5|1|4|4|2|1|SUITE CAPACITY 5 THREE BEDROOM|SUITE|CAPACITY 5 THREE BEDROOM|SUITE KAPASITAS 5 TIGA KAMAR|SUITE|KAPASITAS 5 TIGA KAMAR
SUI.B3-C6|SUI|B3-C6|1|4|4|2|1|SUITE CAPACITY 6 THREE BEDROOM|SUITE|CAPACITY 6 THREE BEDROOM|SUITE KAPASITAS 6 TIGA KAMAR|SUITE|KAPASITAS 6 TIGA KAMAR
SUI.B3-C7|SUI|B3-C7|6|4|4|2|6|SUITE CAPACITY 7 THREE BEDROOMS|SUITE|CAPACITY 7 THREE BEDROOMS|SUITE KAPASITAS 7 TIGA KAMAR|SUITE|KAPASITAS 7 TIGA KAMAR
SUI.B3-DX|SUI|B3-DX|0|4|4|4|1|SUITE DELUXE THREE BEDROOM|SUITE|DELUXE THREE BEDROOM|SUITE DELUKS TIGA KAMAR TIDUR|SUITE|DELUKS TIGA KAMAR TIDUR
SUI.B3-EJ|SUI|B3-EJ|0|4|4|7|1|SUITE EXECUTIVE THREE BEDROOMS|SUITE|EXECUTIVE THREE BEDROOMS|SUITE EKSEKUTIF TIGA KAMAR TIDUR|SUITE|EKSEKUTIF TIGA KAMAR TIDUR
SUI.B3-OV|SUI|B3-OV|0|4|4|6|1|SUITE OCEAN VIEW THREE BEDROOMS|SUITE|OCEAN VIEW THREE BEDROOMS|SUITE PEMANDANGAN SAMUDRA TIGA KAMAR TIDUR|SUITE|PEMANDANGAN SAMUDRA TIGA KAMAR TIDUR
SUI.B3-PP|SUI|B3-PP|1|4|4|3|1|SUITE THREE BEDROOMS WITH PRIVATE POOL|SUITE|THREE BEDROOMS WITH PRIVATE POOL|SUITE TIGA KAMAR DENGAN KOLAM RENANG PRIBADI|SUITE|TIGA KAMAR DENGAN KOLAM RENANG PRIBADI
SUI.B3-SU|SUI|B3-SU|1|4|4|2|1|SUITE SUPERIOR THREE BEDROOMS|SUITE|SUPERIOR THREE BEDROOMS|SUITE SUPERIOR TIGA KAMAR TIDUR|SUITE|SUPERIOR TIGA KAMAR TIDUR
SUI.B3-VM|SUI|B3-VM|1|4|4|5|1|SUITE SEA VIEW THREE BEDROOMS|SUITE|SEA VIEW THREE BEDROOMS|SUITE PEMANDANGAN LAUT TIGA KAMAR TIDUR|SUITE|PEMANDANGAN LAUT TIGA KAMAR TIDUR
SUI.B3-XW|SUI|B3-XW|1|4|4|5|1|SUITE THREE BEDROOMS WITH MORE THAN THREE BATHROOMS|SUITE|THREE BEDROOMS WITH MORE THAN THREE BATHROOMS|SUITE 3 KAMAR TIDUR DENGAN LEBIH DARI TIGA KAMAR MANDI|SUITE|3 KAMAR TIDUR DENGAN LEBIH DARI TIGA KAMAR MANDI
SUI.B4|SUI|B4|0|4|4|99|1|SUITE FOUR BEDROOMS|SUITE|FOUR BEDROOMS|SUITE EMPAT KAMAR|SUITE|EMPAT KAMAR
SUI.B4-1|SUI|B4-1|1|4|4|5|1|SUITE FOUR BEDROOMS|SUITE|FOUR BEDROOMS|SUITE EMPAT KAMAR|SUITE|EMPAT KAMAR
SUI.B4-C8|SUI|B4-C8|1|4|4|6|1|SUITE CAPACITY 8 FOUR BEDROOMS|SUITE|CAPACITY 8 FOUR BEDROOMS|SUITE KAPASITAS 8 EMPAT KAMAR|SUITE|KAPASITAS 8 EMPAT KAMAR
SUI.B4-SU|SUI|B4-SU|1|4|4|2|1|SUITE SUPERIOR FOUR BEDROOMS|SUITE|SUPERIOR FOUR BEDROOMS|SUITE SUPERIOR EMPAT KAMAR TIDUR|SUITE|SUPERIOR EMPAT KAMAR TIDUR
SUI.B4-XW|SUI|B4-XW|1|4|4|11|1|SUITE FOUR BEDROOMS WITH MORE THAN THREE BATHROOMS|SUITE|FOUR BEDROOMS WITH MORE THAN THREE BATHROOMS|SUITE 4 KAMAR TIDUR DENGAN LEBIH DARI TIGA KAMAR MANDI|SUITE|4 KAMAR TIDUR DENGAN LEBIH DARI TIGA KAMAR MANDI
SUI.B6-XW|SUI|B6-XW|1|4|4|15|1|SUITE SIX BEDROOMS WITH MORE THAN THREE BATHROOMS|SUITE|SIX BEDROOMS WITH MORE THAN THREE BATHROOMS|SUITE 6 KAMAR TIDUR DENGAN LEBIH DARI TIGA KAMAR MANDI|SUITE|6 KAMAR TIDUR DENGAN LEBIH DARI TIGA KAMAR MANDI
SUI.BF|SUI|BF|0|4|4|9|1|SUITE BEACH FRONT|SUITE|BEACH FRONT|SUITE DEPAN PANTAI|SUITE|DEPAN PANTAI
SUI.BF-1|SUI|BF-1|1|4|4|1|1|SUITE BEACH FRONT|SUITE|BEACH FRONT|SUITE DEPAN PANTAI|SUITE|DEPAN PANTAI
SUI.BF-2|SUI|BF-2|1|2|2|1|1|SUITE BEACH FRONT|SUITE|BEACH FRONT|SUITE DEPAN PANTAI|SUITE|DEPAN PANTAI
SUI.BF-3|SUI|BF-3|1|2|2|2|1|SUITE BEACH FRONT|SUITE|BEACH FRONT|SUITE DEPAN PANTAI|SUITE|DEPAN PANTAI
SUI.BF-DX|SUI|BF-DX|0|4|4|3|1|SUITE DELUXE BEACH FRONT|SUITE|DELUXE BEACH FRONT|SUITE DELUKS DEPAN PANTAI|SUITE|DELUKS DEPAN PANTAI
SUI.BF-PI|SUI|BF-PI|0|4|4|1|1|SUITE PREMIUM BEACH FRONT|SUITE|PREMIUM BEACH FRONT|SUITE PREMIUM DEPAN PANTAI|SUITE|PREMIUM DEPAN PANTAI
SUI.BF-SU|SUI|BF-SU|1|2|2|0|1|SUITE SUPERIOR BEACH FRONT|SUITE|SUPERIOR BEACH FRONT|SUITE SUPERIOR DEPAN PANTAI|SUITE|SUPERIOR DEPAN PANTAI
SUI.BK|SUI|BK|0|4|4|9|1|SUITE BUNK BED|SUITE|BUNK BED|SUITE RANJANG SUSUN|SUITE|RANJANG SUSUN
SUI.BL|SUI|BL|0|4|4|3|1|SUITE WITH BALCONY|SUITE|WITH BALCONY|SUITE DENGAN BALKON|SUITE|DENGAN BALKON
SUI.BL-1|SUI|BL-1|2|2|2|0|1|SUITE WITH BALCONY|SUITE|WITH BALCONY|SUITE DENGAN BALKON|SUITE|DENGAN BALKON
SUI.BL-DX|SUI|BL-DX|0|4|4|3|1|SUITE DELUXE WITH BALCONY|SUITE|DELUXE WITH BALCONY|SUITE DELUKS DENGAN BALKON|SUITE|DELUKS DENGAN BALKON
SUI.BL-DX-VM|SUI|BL-DX-VM|1|2|2|1|1|SUITE DELUXE SEA VIEW WITH BALCONY|SUITE|DELUXE SEA VIEW WITH BALCONY|SUITE DELUKS PEMANDANGAN LAUT DENGAN BALKON|SUITE|DELUKS PEMANDANGAN LAUT DENGAN BALKON
SUI.BL-GV|SUI|BL-GV|1|2|2|0|1|SUITE GARDEN VIEW WITH BALCONY|SUITE|GARDEN VIEW WITH BALCONY|SUITE PEMANDANGAN KEBUN DENGAN BALKON|SUITE|PEMANDANGAN KEBUN DENGAN BALKON
SUI.BL-OF|SUI|BL-OF|0|2|2|1|1|SUITE OCEAN FRONT WITH BALCONY|SUITE|OCEAN FRONT WITH BALCONY|SUITE DEPAN SAMUDRA DENGAN BALKON|SUITE|DEPAN SAMUDRA DENGAN BALKON
SUI.BL-OV|SUI|BL-OV|0|4|4|3|1|SUITE OCEAN VIEW WITH BALCONY|SUITE|OCEAN VIEW WITH BALCONY|SUITE PEMANDANGAN SAMUDRA DENGAN BALKON|SUITE|PEMANDANGAN SAMUDRA DENGAN BALKON
SUI.BL-SS|SUI|BL-SS|1|4|4|2|1|SUITE SIDE SEA VIEW WITH BALCONY|SUITE|SIDE SEA VIEW WITH BALCONY|SUITE PEMANDANGAN TEPI LAUT DENGAN BALKON|SUITE|PEMANDANGAN TEPI LAUT DENGAN BALKON
SUI.BL-SU|SUI|BL-SU|1|2|2|2|1|SUITE SUPERIOR WITH BALCONY|SUITE|SUPERIOR WITH BALCONY|SUITE SUPERIOR DENGAN BALKON|SUITE|SUPERIOR DENGAN BALKON
SUI.BL-VM|SUI|BL-VM|1|4|4|2|1|SUITE SEA VIEW WITH BALCONY|SUITE|SEA VIEW WITH BALCONY|SUITE PEMANDANGAN LAUT DENGAN BALKON|SUITE|PEMANDANGAN LAUT DENGAN BALKON
SUI.BS|SUI|BS|0|4|4|4|1|SUITE BUSINESS|SUITE|BUSINESS|SUITE BISNIS|SUITE|BISNIS
SUI.BS-1|SUI|BS-1|1|4|4|1|1|SUITE BUSINESS|SUITE|BUSINESS|SUITE BISNIS|SUITE|BISNIS
SUI.BS-CV|SUI|BS-CV|1|2|2|1|1|SUITE BUSINESS CITY VIEW|SUITE|BUSINESS CITY VIEW|SUITE BISNIS PEMANDANGAN KOTA|SUITE|BISNIS PEMANDANGAN KOTA
SUI.BS-DX|SUI|BS-DX|1|2|2|1|1|SUITE BUSINESS DELUXE|SUITE|BUSINESS DELUXE|SUITE BISNIS DELUKS|SUITE|BISNIS DELUKS
SUI.BS-KG|SUI|BS-KG|0|4|4|4|1|SUITE BUSINESS KING BED|SUITE|BUSINESS KING BED|SUITE BISNIS RANJANG KING|SUITE|BISNIS RANJANG KING
SUI.BS-QN|SUI|BS-QN|0|4|4|3|1|SUITE BUSINESS QUEEN BED|SUITE|BUSINESS QUEEN BED|SUITE BISNIS RANJANG QUEEN|SUITE|BISNIS RANJANG QUEEN
SUI.BS-SU|SUI|BS-SU|1|2|2|3|1|SUITE BUSINESS SUPERIOR|SUITE|BUSINESS SUPERIOR|SUITE BISNIS SUPERIOR|SUITE|BISNIS SUPERIOR
